Id,Label,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,eigencentrality,clustering
TCA,,1,0,1,21.802,0,21.802,0,0,0,0,0.000644,0,0.002134,0,49,0.00585,0
VCT,Saint Vincent and the Grenadines,3,1,4,609.296,16.111,625.407,1,1,1,5.102155,0.012994,0.000546,0.002703,0,12,0.058611,0.416667
ERI,,1,0,1,61.122,0,61.122,0,0,0,0,0.001639,0,0.002249,0,86,0.015443,0
RWA,Rwanda,4,5,9,1017.046,1125.147,2142.193,4,0.408915,0.434439,11.039235,0.010789,0.014178,0.003187,0,101,0.064233,0.533333
SSD,South Sudan,2,0,2,1914.253,0,1914.253,0,0,0,0,0.003039,0,0.002628,0,27,0.024584,1
MNP,Northern Mariana Islands,2,0,2,0.844,0,0.844,0,0,0,0,0.009947,0,0.002348,0,81,0.057582,0.5
ZWE,Zimbabwe,5,2,7,41863.754,6.108,41869.862,4,0.331761,0.350316,5.179002,0.008824,0.006439,0.004308,0,101,0.057641,0.7
BES,,2,0,2,0.244,0,0.244,0,0,0,0,0.012351,0,0.002237,0,69,0.045744,0.5
COK,Cook Islands,1,0,1,17.745,0,17.745,0,0,0,0,0.000808,0,0.00241,0,39,0.02875,0
KIR,Kiribati,3,0,3,28.257,0,28.257,0,0,0,0,0.0075,0,0.004382,0,37,0.077229,0.333333
TON,Tonga,1,0,1,6.293,0,6.293,0,0,0,0,0.000808,0,0.00241,0,33,0.02875,0
